HostResponseTime,HostResponseRate,HostAcceptRate,Superhost,HostListings,Neighborhood,Latitude,Longitude,RoomType,Accomodates,Bathrooms,Bedrooms,Beds,Price,MinNights,Availability30,Availability60,Availability90,Availability365,ReviewCount,FirstReview,AvgRating,RatingAccuracy,RatingClean,RatingCheckIn,RatingCommunication,RatingLocation,RatingValue,Instant Booking,BookingsPerMonth,CommissionsPerMonth
within an hour,1,1,f,32,Centro Storico,43.77709,11.25216,Private room,2,1,1,1,65,1,17,38,60,301,119,2013.4,4.65,4.73,4.87,4.85,4.91,4.9,4.71,t,1.19,34.8075
within an hour,1,1,f,5,Centro Storico,43.76268,11.24149,Hotel room,2,1,1,1,70,1,20,47,77,352,512,2012.4,4.84,4.82,4.87,4.88,4.92,4.71,4.82,t,4.58,144.27
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25258,Private room,2,0,1,2,50,1,16,27,41,290,49,2015.4,4.47,4.6,4.65,4.79,4.72,4.88,4.49,f,0.65,14.625
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25258,Private room,2,1,1,2,60,1,5,16,46,309,15,2019.4,4.08,3.83,4.33,4.58,4.42,5,4.17,f,0.56,15.12
within an hour,1,1,f,189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1,1,1,107,3,0,0,0,11,2,2016.7,3,4,4,4.5,3.5,4.5,4,t,0.03,1.4445
within an hour,1,1,f,189,Centro Storico,43.76944,11.26331,Entire home/apt,3,1,1,2,158,3,0,0,0,40,1,2011.9,4,3,4,4,3,5,5,t,0.01,0.711
within an hour,1,1,f,189,Centro Storico,43.76944,11.26331,Entire home/apt,2,1,1,1,142,3,0,0,0,0,7,2017.1,4.86,4.71,4.43,5,4.86,4.86,4.43,t,0.13,8.307
within an hour,1,1,t,1,Centro Storico,43.76418,11.24618,Entire home/apt,4,1,1,2,129,3,5,25,33,296,286,2013.4,4.82,4.86,4.86,4.91,4.9,4.9,4.84,t,2.85,165.4425
within an hour,1,1,f,32,Centro Storico,43.77699,11.25216,Private room,3,1,1,1,65,1,5,27,57,298,88,2012.4,4.71,4.79,4.84,4.95,4.92,4.85,4.78,t,0.78,22.815
within an hour,1,1,f,32,Centro Storico,43.77704,11.25217,Private room,1,1,1,1,43,1,8,25,46,284,201,2013.6,4.64,4.82,4.88,4.86,4.84,4.82,4.66,t,2.05,39.6675
within an hour,1,1,f,32,Centro Storico,43.777,11.25216,Private room,3,1,1,2,61,1,6,24,54,292,68,2019.3,4.71,4.84,4.85,4.94,4.93,4.91,4.76,t,2.42,66.429
within an hour,1,1,t,4,Centro Storico,43.77386,11.25028,Private room,3,0,1,1,45,1,28,58,88,355,484,2013.6,4.56,4.6,4.6,4.87,4.87,4.93,4.57,t,4.95,100.2375
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25258,Private room,1,0,1,1,49,1,22,33,63,326,4,2016.8,3.75,4.25,4.25,4.75,4.25,4.75,4,f,0.07,1.5435
within a few hours,0.97,0.84,t,22,Centro Storico,43.77236,11.24787,Entire home/apt,4,1,1,0,75,3,12,31,61,336,103,2012.5,4.44,4.65,4.72,4.52,4.69,4.66,4.48,f,0.93,31.3875
within a few hours,1,1,f,6,Centro Storico,43.77713,11.26182,Entire home/apt,4,1,1,2,90,3,2,26,31,268,69,2016.5,4.78,4.88,4.87,4.91,4.79,4.94,4.82,t,1.1,44.55
within a few hours,1,1,f,6,Centro Storico,43.76728,11.25066,Entire home/apt,8,2,3,3,168,2,30,56,72,281,78,2011.9,4.9,4.97,4.96,4.87,4.86,4.94,4.9,t,0.66,49.896
within a few hours,0.97,0.84,t,22,Centro Storico,43.77652,11.25588,Entire home/apt,4,1,1,0,90,3,0,0,6,203,149,2014.3,4.69,4.74,4.77,4.71,4.8,4.94,4.64,t,1.67,67.635
within an hour,1,1,t,3,Centro Storico,43.77089,11.25966,Entire home/apt,2,1,1,1,60,3,0,2,2,216,152,2012.6,4.86,4.93,4.95,4.98,4.98,4.92,4.84,t,1.39,37.53
within an hour,1,0.83,f,10,Centro Storico,43.77525,11.25258,Private room,3,1,1,2,75,1,22,33,63,326,3,2014.8,3.67,3,4.33,4.67,4.67,4.67,4,f,0.04,1.35
